Weld,C,Mn,Si,S,P,Al,Ti,Cr,Ni,Mo,V,Cu,YS,UTS,El,RA,Temp,Temp,Strength Classification
A3Ni,0.062,0.62,0.29,0.007,0.007,0.0005,0.0006,0.03,3.01,0.005,0.005,0.03,457,543,27.6,77,-65,-98,Low
A3Ni,0.057,0.65,0.3,0.007,0.007,0.0005,0.0036,0.03,3.03,0.005,0.005,0.03,477,557,29.4,78,-85,-114,Low
A3Ni,0.059,0.63,0.31,0.007,0.007,0.0005,0.0082,0.03,3,0.005,0.005,0.03,489,571,30.2,78,-75,-102,Low
A3Ni,0.065,0.65,0.35,0.007,0.006,0.0005,0.015,0.03,3,0.005,0.005,0.03,490,576,30.2,77.5,-74,-112,Low
A3Ni,0.069,0.67,0.39,0.006,0.011,0.0005,0.022,0.03,2.96,0.005,0.005,0.03,533,599,27,78,-75,-105,Low
A3Ni,0.064,0.65,0.3,0.004,0.008,0.0005,0.0006,0.03,2.88,0.005,0.005,0.03,477,549,28.8,78,-68,-103,Low
A3Ni,0.063,0.65,0.28,0.005,0.008,0.0005,0.0035,0.03,2.82,0.005,0.005,0.03,479,545,29.2,79.8,-83,-110,Low
A3Ni,0.061,0.63,0.29,0.004,0.007,0.0005,0.0087,0.03,2.89,0.005,0.005,0.03,468,537,25,79.8,-82,-103,Low
A3Ni,0.062,0.6,0.25,0.004,0.009,0.0005,0.014,0.03,2.83,0.005,0.005,0.03,476,545,29.8,79.8,-85,-105,Low
A3Ni,0.066,0.63,0.32,0.004,0.008,0.0005,0.026,0.03,2.93,0.005,0.005,0.03,492,550,28.8,79.8,-82,-102,Low
A3Ni,0.071,0.63,0.39,0.004,0.008,0.0005,0.0006,0.03,2.73,0.005,0.005,0.03,483,570,28.4,77,-72,-93,Low
A3Ni,0.07,0.65,0.39,0.003,0.009,0.0005,0.006,0.03,2.78,0.005,0.005,0.03,490,561,27.8,78.9,-86,-109,Low
A3Ni,0.068,0.65,0.29,0.003,0.01,0.0005,0.011,0.03,2.79,0.005,0.005,0.03,507,581,25,77,-89,-110,Low
A3Ni,0.068,0.62,0.29,0.003,0.009,0.0005,0.017,0.03,2.78,0.005,0.005,0.03,476,563,28.4,78.9,-86,-103,Low
